Year	Domestic consumption(kWh)	Non-domestic consumption (kWh)
2022	1424117394	1896047335
2021	1525486540	1893143269
2020	1609229857	1805655202
2019	1535046668	2124916982
2018	1551441077	2172490874
2017	1584877006	2159883548
2016	1602218919	2012774683
2015	1632646065	1954766502
2014	1650323202	1890155436
2013	1632305132	1927600374
2012	1663571950	1862786430
